cell_type_id	cell_type_label	citation_id	citation_label	citation_url	doi	evidence_level	from_excel	from_gmt	gene	marker_notes	pmid	role	source_gmt	source_type	source_workbook	state_id	state_label	tissue_id	tissue_label
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	CCL2	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	CXCL8	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	HIF1A	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	IL6	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	LEPR	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	NLRP3	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	PTGS2	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	SERPINE1	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	SOCS3	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
adipocyte	Adipocyte	citation_89e005ff715f;citation_032958c47aa9	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health; Adachi et al. 2023 Front Cardiovasc Med, perivascular adipose tissue in vascular pathologies	https://link.springer.com/article/10.1186/s12933-024-02549-9; https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2023.1151717/full		medium	true	true	TNF	PVAT inflammatory/dysfunctional program; validate against immune contamination and low adipocyte RNA capture.		positive_marker	dat/artery/artery_cell_state_markers.gmt	literature_curated	dat/artery/artery_cell_state_markers.xlsx	artery_adipocyte_inflammatory_dysfunctional_pvat_adipocyte	Inflammatory dysfunctional pvat adipocyte	artery	Artery
